1470649666486	2016-08-08 11-47-46.486	changed	size	height	image-69	406
1470649666518	2016-08-08 11-47-46.518	changed	size	width	image-69	408
1470649666519	2016-08-08 11-47-46.519	changed	size	height	image-69	408
1470649666559	2016-08-08 11-47-46.559	changed	size	width	image-69	410
1470649666560	2016-08-08 11-47-46.560	changed	size	height	image-69	410
1470649666579	2016-08-08 11-47-46.579	changed	size	width	image-69	412
1470649666580	2016-08-08 11-47-46.580	changed	size	height	image-69	412
1470649667188	2016-08-08 11-47-47.188	acted	on	image-69
1470649667191	2016-08-08 11-47-47.191	selected	image-69
1470649667342	2016-08-08 11-47-47.342	start	moving	image-69	from	{"x":296,"y":211}
1470649667351	2016-08-08 11-47-47.351	moved	image-69	to	{"x":223,"y":463}
1470649667358	2016-08-08 11-47-47.358	moved	image-69	to	{"x":225,"y":463}
1470649667367	2016-08-08 11-47-47.367	moved	image-69	to	{"x":226,"y":463}
1470649667376	2016-08-08 11-47-47.376	moved	image-69	to	{"x":228,"y":462}
1470649667383	2016-08-08 11-47-47.383	moved	image-69	to	{"x":229,"y":462}
1470649667393	2016-08-08 11-47-47.393	moved	image-69	to	{"x":231,"y":461}
1470649667400	2016-08-08 11-47-47.400	moved	image-69	to	{"x":232,"y":461}
1470649667408	2016-08-08 11-47-47.408	moved	image-69	to	{"x":234,"y":461}
1470649667426	2016-08-08 11-47-47.426	moved	image-69	to	{"x":236,"y":460}
1470649667434	2016-08-08 11-47-47.434	moved	image-69	to	{"x":237,"y":460}
1470649667441	2016-08-08 11-47-47.441	moved	image-69	to	{"x":238,"y":460}
1470649667460	2016-08-08 11-47-47.460	moved	image-69	to	{"x":239,"y":460}
1470649667467	2016-08-08 11-47-47.467	moved	image-69	to	{"x":240,"y":460}
1470649667484	2016-08-08 11-47-47.484	moved	image-69	to	{"x":241,"y":460}
1470649667501	2016-08-08 11-47-47.501	moved	image-69	to	{"x":242,"y":460}
1470649667509	2016-08-08 11-47-47.509	moved	image-69	to	{"x":243,"y":460}
