1470054679676: 	action	draw	path-1470054678335	{"x":307,"y":427}
1470054679783: 	action	draw	path-1470054678335	{"x":300,"y":441}
1470054679789: 	action	draw	path-1470054678335	{"x":300,"y":442}
1470054679798: 	action	draw	path-1470054678335	{"x":299,"y":444}
1470054679807: 	action	draw	path-1470054678335	{"x":299,"y":445}
1470054679814: 	action	draw	path-1470054678335	{"x":298,"y":448}
1470054679822: 	action	draw	path-1470054678335	{"x":297,"y":451}
1470054679832: 	action	draw	path-1470054678335	{"x":296,"y":453}
1470054679839: 	action	draw	path-1470054678335	{"x":295,"y":457}
1470054679848: 	action	draw	path-1470054678335	{"x":294,"y":459}
1470054679857: 	action	draw	path-1470054678335	{"x":293,"y":462}
1470054679864: 	action	draw	path-1470054678335	{"x":292,"y":464}
1470054679872: 	action	draw	path-1470054678335	{"x":292,"y":465}
1470054679882: 	action	draw	path-1470054678335	{"x":291,"y":467}
1470054679889: 	action	draw	path-1470054678335	{"x":290,"y":469}
1470054679897: 	action	draw	path-1470054678335	{"x":290,"y":471}
1470054679907: 	action	draw	path-1470054678335	{"x":290,"y":473}
1470054679915: 	action	draw	path-1470054678335	{"x":289,"y":475}
1470054679923: 	action	draw	path-1470054678335	{"x":289,"y":477}
1470054679932: 	action	draw	path-1470054678335	{"x":289,"y":480}
1470054679940: 	action	draw	path-1470054678335	{"x":288,"y":482}
1470054679948: 	action	draw	path-1470054678335	{"x":288,"y":484}
1470054679957: 	action	draw	path-1470054678335	{"x":287,"y":486}
1470054679964: 	action	draw	path-1470054678335	{"x":287,"y":487}
1470054679973: 	action	draw	path-1470054678335	{"x":287,"y":488}
1470054679986: 	action	draw	path-1470054678335	{"x":286,"y":489}
1470054680002: 	action	draw	path-1470054678335	{"x":286,"y":492}
1470054680013: 	action	draw	path-1470054678335	{"x":286,"y":493}
1470054680027: 	action	draw	path-1470054678335	{"x":285,"y":497}
1470054680034: 	action	draw	path-1470054678335	{"x":285,"y":500}
1470054680049: 	action	draw	path-1470054678335	{"x":284,"y":503}
1470054680058: 	action	draw	path-1470054678335	{"x":284,"y":504}
1470054680066: 	action	draw	path-1470054678335	{"x":284,"y":505}
1470054680074: 	action	draw	path-1470054678335	{"x":283,"y":506}
