1470054631443: 	sub-instrument	start	draw	true
1470054631474: 	activate	draw
1470054634437: 	acted on	innerText
1470054634653: 	sub-instrument	stop	draw	false
1470054634667: 	deactivate	draw
1470054635977: 	acted on	innerText
1470054636077: 	sub-instrument	start	colorPicker	true
1470054636089: 	activate	colorPicker
1470054637081: 	acted on	#00FF00
1470054637166: 	sub-instrument	#00FF00	colorPicker	true
1470054640308: 	acted on	sample
1470054640908: 	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054640925: 	changed color to	rgb(0, 0, 0)
1470054642270: 	acted on	innerText
1470054642365: 	sub-instrument	stop	colorPicker	false
1470054642369: 	deactivate	colorPicker
1470054643368: 	acted on	innerText
1470054643458: 	sub-instrument	start	draw	true
1470054643486: 	activate	draw
1470054649652: 	acted on	content
1470054660850: 	action	mover	image-56	{"x":190,"y":445}
1470054660851: 	moved	image-56	to	{"x":190,"y":445}
1470054660924: 	action	mover	image-56	{"x":190,"y":446}
1470054660925: 	moved	image-56	to	{"x":190,"y":446}
1470054660949: 	action	mover	image-56	{"x":190,"y":447}
1470054660950: 	moved	image-56	to	{"x":190,"y":447}
1470054660957: 	action	mover	image-56	{"x":189,"y":449}
1470054660958: 	moved	image-56	to	{"x":189,"y":449}
1470054660974: 	action	mover	image-56	{"x":189,"y":451}
1470054660975: 	moved	image-56	to	{"x":189,"y":451}
1470054660992: 	action	mover	image-56	{"x":188,"y":452}
1470054660993: 	moved	image-56	to	{"x":188,"y":452}
1470054661008: 	action	mover	image-56	{"x":188,"y":453}
1470054661009: 	moved	image-56	to	{"x":188,"y":453}
1470054661075: 	action	mover	image-56	{"x":189,"y":454}
1470054661078: 	moved	image-56	to	{"x":189,"y":454}
1470054661192: 	action	mover	image-56	{"x":189,"y":455}
1470054665641: 	acted on	innerText
1470054665690: 	sub-instrument	stop	mover	false
1470054665704: 	deactivate	mover
1470054669125: 	acted on	draw
1470054674948: 	acted on	innerText
1470054675111: 	sub-instrument	start	draw	true
1470054675138: 	activate	draw
1470054676759: 	acted on	content
1470054676762: 	action	draw	content	{"x":47,"y":522}
1470054676763: 	draw	content	{"x":47,"y":522}
1470054676939: 	action	draw	content	{"x":48,"y":506}
1470054676940: 	draw	content	{"x":48,"y":506}
1470054676946: 	action	draw	content	{"x":48,"y":505}
1470054676947: 	draw	content	{"x":48,"y":505}
1470054676957: 	draw	content	{"x":49,"y":502}
1470054676965: 	action	draw	content	{"x":49,"y":500}
1470054676966: 	draw	content	{"x":49,"y":500}
1470054676972: 	draw	content	{"x":50,"y":497}
1470054676981: 	draw	content	{"x":51,"y":492}
1470054676989: 	draw	content	{"x":51,"y":489}
1470054676997: 	action	draw	content	{"x":52,"y":485}
1470054676998: 	draw	content	{"x":52,"y":485}
1470054677005: 	action	draw	content	{"x":53,"y":480}
1470054677006: 	draw	content	{"x":53,"y":480}
1470054677014: 	action	draw	content	{"x":54,"y":478}
1470054677015: 	draw	content	{"x":54,"y":478}
1470054677023: 	draw	content	{"x":54,"y":475}
1470054677031: 	draw	content	{"x":54,"y":472}
1470054677039: 	action	draw	content	{"x":55,"y":470}
1470054677040: 	draw	content	{"x":55,"y":470}
1470054677048: 	action	draw	content	{"x":55,"y":467}
1470054677049: 	draw	content	{"x":55,"y":467}
1470054677056: 	draw	content	{"x":56,"y":464}
1470054677064: 	action	draw	content	{"x":57,"y":460}
1470054677065: 	draw	content	{"x":57,"y":460}
1470054677072: 	draw	content	{"x":58,"y":457}
1470054677081: 	action	draw	content	{"x":58,"y":454}
1470054677082: 	draw	content	{"x":58,"y":454}
1470054677089: 	draw	content	{"x":60,"y":451}
1470054677097: 	action	draw	content	{"x":61,"y":447}
1470054677098: 	draw	content	{"x":61,"y":447}
1470054677106: 	draw	content	{"x":62,"y":444}
1470054677114: 	action	draw	content	{"x":62,"y":443}
1470054677115: 	draw	content	{"x":62,"y":443}
1470054677122: 	action	draw	content	{"x":63,"y":441}
1470054677123: 	draw	content	{"x":63,"y":441}
1470054677131: 	action	draw	content	{"x":63,"y":439}
1470054677132: 	draw	content	{"x":63,"y":439}
1470054677139: 	action	draw	content	{"x":64,"y":438}
1470054677141: 	draw	content	{"x":64,"y":438}
1470054677148: 	draw	content	{"x":64,"y":437}
1470054677157: 	draw	content	{"x":64,"y":435}
1470054677164: 	draw	content	{"x":65,"y":435}
1470054677172: 	draw	content	{"x":65,"y":433}
1470054677189: 	action	draw	content	{"x":66,"y":432}
1470054677190: 	draw	content	{"x":66,"y":432}
1470054677207: 	draw	content	{"x":66,"y":431}
1470054677272: 	action	draw	content	{"x":66,"y":430}
1470054677273: 	draw	content	{"x":66,"y":430}
1470054677339: 	action	draw	content	{"x":66,"y":429}
1470054677340: 	draw	content	{"x":66,"y":429}
1470054677357: 	action	draw	content	{"x":67,"y":429}
1470054677358: 	draw	content	{"x":67,"y":429}
1470054677364: 	action	draw	content	{"x":67,"y":428}
1470054677365: 	draw	content	{"x":67,"y":428}
1470054677382: 	draw	content	{"x":67,"y":427}
1470054677397: 	draw	content	{"x":68,"y":427}
1470054677422: 	action	draw	content	{"x":68,"y":426}
1470054677423: 	draw	content	{"x":68,"y":426}
1470054677457: 	action	draw	content	{"x":68,"y":425}
1470054677458: 	draw	content	{"x":68,"y":425}
1470054677473: 	draw	content	{"x":69,"y":424}
1470054677490: 	draw	content	{"x":69,"y":423}
1470054677507: 	action	draw	content	{"x":70,"y":422}
1470054677508: 	draw	content	{"x":70,"y":422}
1470054678332: 	acted on	content
1470054678334: 	draw	content	{"x":244,"y":418}
1470054678672: 	action	draw	content	{"x":259,"y":415}
1470054678673: 	draw	content	{"x":259,"y":415}
1470054678690: 	draw	content	{"x":260,"y":415}
1470054678699: 	action	draw	content	{"x":261,"y":415}
1470054678700: 	draw	content	{"x":261,"y":415}
1470054678714: 	action	draw	content	{"x":262,"y":415}
1470054678715: 	draw	content	{"x":262,"y":415}
1470054678743: 	action	draw	content	{"x":263,"y":415}
1470054678744: 	draw	content	{"x":263,"y":415}
1470054678747: 	action	draw	content	{"x":264,"y":415}
1470054678748: 	draw	content	{"x":264,"y":415}
1470054678764: 	action	draw	content	{"x":265,"y":415}
1470054678765: 	draw	content	{"x":265,"y":415}
1470054678782: 	draw	content	{"x":266,"y":415}
1470054678798: 	action	draw	content	{"x":267,"y":415}
1470054678799: 	draw	content	{"x":267,"y":415}
1470054678815: 	action	draw	content	{"x":268,"y":416}
1470054678816: 	draw	content	{"x":268,"y":416}
1470054678832: 	action	draw	content	{"x":269,"y":416}
1470054678833: 	draw	content	{"x":269,"y":416}
1470054678847: 	draw	content	{"x":270,"y":416}
1470054678898: 	draw	content	{"x":271,"y":416}
1470054678948: 	action	draw	content	{"x":271,"y":417}
1470054678949: 	draw	content	{"x":271,"y":417}
1470054678982: 	action	draw	content	{"x":272,"y":417}
1470054678983: 	draw	content	{"x":272,"y":417}
1470054679006: 	action	draw	content	{"x":273,"y":417}
1470054679007: 	draw	content	{"x":273,"y":417}
1470054679015: 	action	draw	content	{"x":273,"y":418}
1470054679016: 	draw	content	{"x":273,"y":418}
1470054679032: 	action	draw	content	{"x":274,"y":418}
1470054679033: 	draw	content	{"x":274,"y":418}
1470054679056: 	action	draw	content	{"x":275,"y":418}
1470054679057: 	draw	content	{"x":275,"y":418}
1470054679065: 	draw	content	{"x":277,"y":418}
1470054679073: 	action	draw	content	{"x":280,"y":419}
1470054679074: 	draw	content	{"x":280,"y":419}
1470054679082: 	draw	content	{"x":281,"y":419}
1470054679090: 	draw	content	{"x":283,"y":418}
1470054679097: 	action	draw	content	{"x":284,"y":418}
1470054679098: 	draw	content	{"x":284,"y":418}
1470054679106: 	action	draw	content	{"x":286,"y":418}
1470054679107: 	draw	content	{"x":286,"y":418}
1470054679116: 	action	draw	content	{"x":287,"y":418}
1470054679117: 	draw	content	{"x":287,"y":418}
