1470049612608	2016-08-01 13-06-52.608
1470049860768	2016-08-01 13-11-00.768
1470052113098	2016-08-01 13-48-33.098
1470052236172	2016-08-01 13-50-36.172
1470052521810	2016-08-01 13-55-21.810
1470052572386	2016-08-01 13-56-12.386
1470052602458	2016-08-01 13-56-42.458
1470054569446	2016-08-01 14-29-29.446	acted	on	shapes
1470054571682	2016-08-01 14-29-31.682	acted	on	shapes
1470054631290	2016-08-01 14-30-31.290	acted	on	innerText
1470054631443	2016-08-01 14-30-31.443	sub-instrument	start	draw	true
1470054631474	2016-08-01 14-30-31.474	activate	draw
1470054634437	2016-08-01 14-30-34.437	acted	on	innerText
1470054634653	2016-08-01 14-30-34.653	sub-instrument	stop	draw	false
1470054634667	2016-08-01 14-30-34.667	deactivate	draw
1470054635977	2016-08-01 14-30-35.977	acted	on	innerText
1470054636077	2016-08-01 14-30-36.077	sub-instrument	start	colorPicker	true
1470054636089	2016-08-01 14-30-36.089	activate	colorPicker
1470054637081	2016-08-01 14-30-37.081	acted	on	#00FF00
1470054637166	2016-08-01 14-30-37.166	sub-instrument	#00FF00	colorPicker	true
1470054651467	2016-08-01 14-30-51.467	action	draw	content	{"x":268,"y":529}
1470054651468	2016-08-01 14-30-51.468	draw	content	{"x":268,"y":529}
1470054651483	2016-08-01 14-30-51.483	action	draw	content	{"x":269,"y":529}
1470054651484	2016-08-01 14-30-51.484	draw	content	{"x":269,"y":529}
1470054651499	2016-08-01 14-30-51.499	draw	content	{"x":270,"y":529}
1470054651509	2016-08-01 14-30-51.509	draw	content	{"x":271,"y":529}
1470054651516	2016-08-01 14-30-51.516	action	draw	content	{"x":272,"y":529}
1470054651517	2016-08-01 14-30-51.517	draw	content	{"x":272,"y":529}
1470054651541	2016-08-01 14-30-51.541	action	draw	content	{"x":273,"y":529}
1470054651544	2016-08-01 14-30-51.544	draw	content	{"x":273,"y":529}
1470054651574	2016-08-01 14-30-51.574	action	draw	content	{"x":274,"y":529}
1470054651575	2016-08-01 14-30-51.575	draw	content	{"x":274,"y":529}
1470054651666	2016-08-01 14-30-51.666	draw	content	{"x":275,"y":529}
1470054651733	2016-08-01 14-30-51.733	action	draw	content	{"x":276,"y":529}
1470054651734	2016-08-01 14-30-51.734	draw	content	{"x":276,"y":529}
1470054656993	2016-08-01 14-30-56.993	acted	on	innerText
1470054657114	2016-08-01 14-30-57.114	sub-instrument	stop	draw	false
1470054657121	2016-08-01 14-30-57.121	deactivate	draw
1470054657398	2016-08-01 14-30-57.398	acted	on	innerText
1470054657518	2016-08-01 14-30-57.518	sub-instrument	start	mover	true
1470054657537	2016-08-01 14-30-57.537	activate	mover
1470054659753	2016-08-01 14-30-59.753	acted	on	image-56
1470054659755	2016-08-01 14-30-59.755	action	mover	image-56	{"x":199,"y":461}
1470054659757	2016-08-01 14-30-59.757	start	moving	image-56	from	{"x":110,"y":78}
1470054660408	2016-08-01 14-31-00.408	acted	on	image-56
1470054660409	2016-08-01 14-31-00.409	action	mover	image-56	{"x":192,"y":474}
1470054660411	2016-08-01 14-31-00.411	start	moving	image-56	from	{"x":103,"y":91}
1470054660549	2016-08-01 14-31-00.549	action	mover	image-56	{"x":192,"y":458}
1470054660550	2016-08-01 14-31-00.550	moved	image-56	to	{"x":192,"y":458}
1470054660556	2016-08-01 14-31-00.556	action	mover	image-56	{"x":192,"y":456}
1470054660565	2016-08-01 14-31-00.565	action	mover	image-56	{"x":192,"y":454}
1470054660566	2016-08-01 14-31-00.566	moved	image-56	to	{"x":192,"y":454}
1470054660573	2016-08-01 14-31-00.573	action	mover	image-56	{"x":192,"y":453}
1470054660574	2016-08-01 14-31-00.574	moved	image-56	to	{"x":192,"y":453}
1470054660582	2016-08-01 14-31-00.582	action	mover	image-56	{"x":192,"y":451}
1470054660583	2016-08-01 14-31-00.583	moved	image-56	to	{"x":192,"y":451}
1470054660599	2016-08-01 14-31-00.599	action	mover	image-56	{"x":192,"y":449}
1470054660600	2016-08-01 14-31-00.600	moved	image-56	to	{"x":192,"y":449}
1470054660617	2016-08-01 14-31-00.617	action	mover	image-56	{"x":192,"y":448}
1470054660624	2016-08-01 14-31-00.624	action	mover	image-56	{"x":191,"y":448}
1470054660625	2016-08-01 14-31-00.625	moved	image-56	to	{"x":191,"y":448}
1470054660642	2016-08-01 14-31-00.642	action	mover	image-56	{"x":191,"y":447}
1470054660643	2016-08-01 14-31-00.643	moved	image-56	to	{"x":191,"y":447}
1470054660683	2016-08-01 14-31-00.683	action	mover	image-56	{"x":191,"y":446}
1470054660684	2016-08-01 14-31-00.684	moved	image-56	to	{"x":191,"y":446}
1470054660850	2016-08-01 14-31-00.850	action	mover	image-56	{"x":190,"y":445}
