1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648386881: 	draw	image-37	{"x":35,"y":74}
1470648386924: 	draw	image-37	{"x":35,"y":75}
1470648386965: 	draw	image-37	{"x":35,"y":76}
1470648387006: 	draw	image-37	{"x":35,"y":77}
1470648387056: 	draw	image-37	{"x":34,"y":77}
1470648387066: 	draw	image-37	{"x":34,"y":78}
1470648390588: 	acted on	sample
1470648390701: 	draw	sample	{"x":42,"y":113}
1470648393317: 	draw	image-37	{"x":43,"y":79}
1470648395392: 	draw	image-37	{"x":29,"y":80}
1470648395515: 	draw	image-37	{"x":34,"y":65}
1470648395523: 	draw	image-37	{"x":35,"y":64}
1470648395531: 	draw	image-37	{"x":35,"y":63}
1470648395539: 	draw	image-37	{"x":35,"y":62}
1470648395547: 	draw	image-37	{"x":36,"y":61}
1470648395555: 	draw	image-37	{"x":36,"y":60}
1470648395564: 	draw	image-37	{"x":37,"y":59}
1470648395573: 	draw	image-37	{"x":37,"y":58}
1470648395581: 	draw	image-37	{"x":38,"y":57}
1470648395589: 	draw	image-37	{"x":39,"y":56}
1470648395607: 	draw	image-37	{"x":39,"y":55}
1470648395624: 	draw	image-37	{"x":40,"y":55}
1470648395715: 	draw	image-37	{"x":40,"y":56}
1470648395739: 	draw	image-37	{"x":40,"y":57}
1470648395749: 	draw	image-37	{"x":40,"y":58}
1470648395756: 	draw	image-37	{"x":39,"y":62}
1470648395764: 	draw	image-37	{"x":38,"y":63}
1470648395773: 	draw	image-37	{"x":38,"y":64}
1470648395780: 	draw	image-37	{"x":37,"y":66}
1470648395788: 	draw	image-37	{"x":36,"y":67}
1470648395798: 	draw	image-37	{"x":36,"y":68}
1470648395806: 	draw	image-37	{"x":36,"y":69}
1470648395823: 	draw	image-37	{"x":36,"y":70}
1470648395839: 	draw	image-37	{"x":36,"y":71}
1470648395847: 	draw	image-37	{"x":36,"y":72}
1470648395856: 	draw	image-37	{"x":35,"y":73}
1470648395873: 	draw	image-37	{"x":35,"y":74}
1470648395880: 	draw	image-37	{"x":36,"y":75}
1470648395898: 	draw	image-37	{"x":36,"y":76}
1470648395914: 	draw	image-37	{"x":36,"y":77}
1470648396023: 	draw	image-37	{"x":37,"y":77}
1470648396098: 	draw	image-37	{"x":37,"y":78}
1470648396181: 	draw	image-37	{"x":37,"y":77}
1470648396206: 	draw	image-37	{"x":36,"y":77}
1470648396257: 	draw	image-37	{"x":35,"y":77}
1470648396264: 	draw	image-37	{"x":35,"y":76}
1470648396289: 	draw	image-37	{"x":34,"y":76}
1470648396314: 	draw	image-37	{"x":33,"y":76}
1470648396324: 	draw	image-37	{"x":32,"y":76}
1470648396339: 	draw	image-37	{"x":31,"y":76}
1470648396381: 	draw	image-37	{"x":30,"y":75}
1470648396406: 	draw	image-37	{"x":29,"y":75}
1470648396424: 	draw	image-37	{"x":28,"y":74}
1470648396439: 	draw	image-37	{"x":27,"y":74}
1470648396453: 	draw	image-37	{"x":27,"y":73}
1470648396476: 	draw	image-37	{"x":26,"y":72}
1470648396490: 	draw	image-37	{"x":26,"y":71}
1470648396509: 	draw	image-37	{"x":25,"y":70}
1470648396524: 	draw	image-37	{"x":25,"y":69}
1470648396549: 	draw	image-37	{"x":25,"y":67}
1470648396575: 	draw	image-37	{"x":25,"y":66}
