1470237066277: 	moved	image-37	to	{"x":787,"y":296}
1470237066318: 	action	mover	image-37	{"x":787,"y":295}
1470237066319: 	moved	image-37	to	{"x":787,"y":295}
1470237066642: 	acted on	image-77
1470237066644: 	action	mover	image-77	{"x":651,"y":123}
1470237066645: 	start moving	image-77	from	{"x":71,"y":96}
1470237066660: 	action	mover	image-77	{"x":637,"y":129}
1470237066661: 	moved	image-77	to	{"x":637,"y":129}
1470237066667: 	action	mover	image-77	{"x":628,"y":135}
1470237066668: 	moved	image-77	to	{"x":628,"y":135}
1470237066676: 	action	mover	image-77	{"x":621,"y":139}
1470237066684: 	action	mover	image-77	{"x":609,"y":147}
1470237066685: 	moved	image-77	to	{"x":609,"y":147}
1470237066692: 	action	mover	image-77	{"x":600,"y":154}
1470237066693: 	moved	image-77	to	{"x":600,"y":154}
1470237066701: 	action	mover	image-77	{"x":589,"y":163}
1470237066709: 	action	mover	image-77	{"x":580,"y":171}
1470237066717: 	action	mover	image-77	{"x":569,"y":180}
1470237066725: 	action	mover	image-77	{"x":560,"y":189}
1470237066726: 	moved	image-77	to	{"x":560,"y":189}
1470237066734: 	action	mover	image-77	{"x":549,"y":198}
1470237066742: 	action	mover	image-77	{"x":539,"y":209}
1470237066751: 	action	mover	image-77	{"x":529,"y":217}
1470237066752: 	moved	image-77	to	{"x":529,"y":217}
1470237066759: 	action	mover	image-77	{"x":518,"y":226}
1470237066767: 	action	mover	image-77	{"x":507,"y":238}
1470237066768: 	moved	image-77	to	{"x":507,"y":238}
1470237066776: 	action	mover	image-77	{"x":495,"y":248}
1470237066777: 	moved	image-77	to	{"x":495,"y":248}
1470237066784: 	action	mover	image-77	{"x":484,"y":257}
1470237066792: 	action	mover	image-77	{"x":474,"y":267}
1470237066800: 	action	mover	image-77	{"x":462,"y":281}
1470237066801: 	moved	image-77	to	{"x":462,"y":281}
1470237066809: 	action	mover	image-77	{"x":451,"y":292}
1470237066817: 	action	mover	image-77	{"x":442,"y":303}
1470237066826: 	action	mover	image-77	{"x":431,"y":316}
1470237066834: 	action	mover	image-77	{"x":421,"y":327}
1470237066835: 	moved	image-77	to	{"x":421,"y":327}
1470237066842: 	action	mover	image-77	{"x":412,"y":339}
1470237066843: 	moved	image-77	to	{"x":412,"y":339}
1470237066851: 	action	mover	image-77	{"x":402,"y":353}
1470237066852: 	moved	image-77	to	{"x":402,"y":353}
1470237066859: 	action	mover	image-77	{"x":394,"y":363}
1470237066867: 	action	mover	image-77	{"x":387,"y":373}
1470237066868: 	moved	image-77	to	{"x":387,"y":373}
1470237066876: 	action	mover	image-77	{"x":379,"y":384}
1470237066885: 	action	mover	image-77	{"x":372,"y":395}
1470237066886: 	moved	image-77	to	{"x":372,"y":395}
1470237066893: 	action	mover	image-77	{"x":366,"y":402}
1470237066894: 	moved	image-77	to	{"x":366,"y":402}
1470237066901: 	action	mover	image-77	{"x":358,"y":412}
1470237066902: 	moved	image-77	to	{"x":358,"y":412}
1470237066909: 	action	mover	image-77	{"x":351,"y":421}
1470237066910: 	moved	image-77	to	{"x":351,"y":421}
1470237066917: 	action	mover	image-77	{"x":345,"y":428}
1470237066918: 	moved	image-77	to	{"x":345,"y":428}
1470237066926: 	action	mover	image-77	{"x":340,"y":433}
1470237066934: 	action	mover	image-77	{"x":330,"y":442}
1470237066935: 	moved	image-77	to	{"x":330,"y":442}
1470237066942: 	action	mover	image-77	{"x":327,"y":445}
1470237066943: 	moved	image-77	to	{"x":327,"y":445}
1470237066955: 	action	mover	image-77	{"x":319,"y":454}
1470237066961: 	action	mover	image-77	{"x":313,"y":460}
1470237066962: 	moved	image-77	to	{"x":313,"y":460}
1470237066967: 	action	mover	image-77	{"x":308,"y":466}
1470237066968: 	moved	image-77	to	{"x":308,"y":466}
1470237066976: 	action	mover	image-77	{"x":302,"y":473}
1470237066977: 	moved	image-77	to	{"x":302,"y":473}
1470237066984: 	action	mover	image-77	{"x":296,"y":479}
1470237066993: 	action	mover	image-77	{"x":290,"y":485}
1470237067001: 	action	mover	image-77	{"x":285,"y":490}
1470237067002: 	moved	image-77	to	{"x":285,"y":490}
1470237067009: 	action	mover	image-77	{"x":280,"y":496}
1470237067017: 	action	mover	image-77	{"x":274,"y":502}
1470237067027: 	action	mover	image-77	{"x":270,"y":507}
1470237067034: 	action	mover	image-77	{"x":265,"y":511}
1470237067035: 	moved	image-77	to	{"x":265,"y":511}
1470237067041: 	action	mover	image-77	{"x":261,"y":515}
1470237067042: 	moved	image-77	to	{"x":261,"y":515}
1470237067052: 	action	mover	image-77	{"x":257,"y":517}
1470237067059: 	action	mover	image-77	{"x":254,"y":520}
1470237067060: 	moved	image-77	to	{"x":254,"y":520}
1470237067067: 	action	mover	image-77	{"x":251,"y":522}
1470237067068: 	moved	image-77	to	{"x":251,"y":522}
1470237067076: 	action	mover	image-77	{"x":249,"y":524}
1470237067083: 	action	mover	image-77	{"x":247,"y":525}
1470237067084: 	moved	image-77	to	{"x":247,"y":525}
1470237067093: 	action	mover	image-77	{"x":246,"y":526}
1470237067101: 	action	mover	image-77	{"x":244,"y":526}
1470237067102: 	moved	image-77	to	{"x":244,"y":526}
1470237067117: 	action	mover	image-77	{"x":243,"y":526}
1470237067119: 	moved	image-77	to	{"x":243,"y":526}
1470237067520: 	acted on	image-37
1470237067521: 	action	mover	image-37	{"x":801,"y":292}
1470237067523: 	start moving	image-37	from	{"x":94,"y":83}
1470237067610: 	action	mover	image-37	{"x":788,"y":280}
1470237067617: 	action	mover	image-37	{"x":783,"y":277}
1470237067618: 	moved	image-37	to	{"x":783,"y":277}
1470237067627: 	action	mover	image-37	{"x":778,"y":274}
1470237067635: 	action	mover	image-37	{"x":773,"y":271}
1470237067642: 	action	mover	image-37	{"x":767,"y":267}
1470237067643: 	moved	image-37	to	{"x":767,"y":267}
1470237067652: 	action	mover	image-37	{"x":762,"y":264}
1470237067653: 	moved	image-37	to	{"x":762,"y":264}
1470237067660: 	action	mover	image-37	{"x":757,"y":261}
1470237067661: 	moved	image-37	to	{"x":757,"y":261}
1470237067669: 	action	mover	image-37	{"x":753,"y":257}
1470237067677: 	action	mover	image-37	{"x":748,"y":255}
1470237067684: 	action	mover	image-37	{"x":743,"y":252}
1470237067693: 	action	mover	image-37	{"x":738,"y":250}
1470237067702: 	action	mover	image-37	{"x":733,"y":247}
1470237067703: 	moved	image-37	to	{"x":733,"y":247}
1470237067709: 	action	mover	image-37	{"x":728,"y":244}
1470237067710: 	moved	image-37	to	{"x":728,"y":244}
1470237067717: 	action	mover	image-37	{"x":724,"y":241}
1470237067718: 	moved	image-37	to	{"x":724,"y":241}
1470237067726: 	action	mover	image-37	{"x":719,"y":237}
1470237067727: 	moved	image-37	to	{"x":719,"y":237}
1470237067736: 	action	mover	image-37	{"x":715,"y":234}
1470237067742: 	action	mover	image-37	{"x":710,"y":230}
1470237067743: 	moved	image-37	to	{"x":710,"y":230}
1470237067751: 	action	mover	image-37	{"x":706,"y":227}
1470237067752: 	moved	image-37	to	{"x":706,"y":227}
1470237067760: 	action	mover	image-37	{"x":703,"y":225}
1470237067767: 	action	mover	image-37	{"x":699,"y":222}
1470237067768: 	moved	image-37	to	{"x":699,"y":222}
1470237067776: 	action	mover	image-37	{"x":694,"y":218}
1470237067777: 	moved	image-37	to	{"x":694,"y":218}
1470237067785: 	action	mover	image-37	{"x":690,"y":213}
1470237067786: 	moved	image-37	to	{"x":690,"y":213}
1470237067792: 	action	mover	image-37	{"x":688,"y":211}
1470237067793: 	moved	image-37	to	{"x":688,"y":211}
1470237067801: 	action	mover	image-37	{"x":684,"y":208}
1470237067802: 	moved	image-37	to	{"x":684,"y":208}
1470237067809: 	action	mover	image-37	{"x":680,"y":205}
1470237067817: 	action	mover	image-37	{"x":678,"y":202}
1470237067818: 	moved	image-37	to	{"x":678,"y":202}
1470237067826: 	action	mover	image-37	{"x":675,"y":200}
1470237067827: 	moved	image-37	to	{"x":675,"y":200}
1470237067838: 	action	mover	image-37	{"x":672,"y":197}
1470237067839: 	moved	image-37	to	{"x":672,"y":197}
1470237067842: 	action	mover	image-37	{"x":670,"y":195}
1470237067843: 	moved	image-37	to	{"x":670,"y":195}
1470237067851: 	action	mover	image-37	{"x":667,"y":192}
1470237067852: 	moved	image-37	to	{"x":667,"y":192}
1470237067859: 	action	mover	image-37	{"x":665,"y":190}
1470237067860: 	moved	image-37	to	{"x":665,"y":190}
1470237067866: 	action	mover	image-37	{"x":663,"y":188}
1470237067867: 	moved	image-37	to	{"x":663,"y":188}
1470237067875: 	action	mover	image-37	{"x":661,"y":186}
1470237067876: 	moved	image-37	to	{"x":661,"y":186}
1470237067884: 	action	mover	image-37	{"x":660,"y":184}
1470237067885: 	moved	image-37	to	{"x":660,"y":184}
1470237067892: 	action	mover	image-37	{"x":658,"y":182}
1470237067893: 	moved	image-37	to	{"x":658,"y":182}
1470237067901: 	action	mover	image-37	{"x":657,"y":181}
1470237067909: 	action	mover	image-37	{"x":656,"y":179}
1470237067917: 	action	mover	image-37	{"x":655,"y":178}
1470237067918: 	moved	image-37	to	{"x":655,"y":178}
1470237067934: 	action	mover	image-37	{"x":654,"y":177}
1470237067935: 	moved	image-37	to	{"x":654,"y":177}
1470237067967: 	action	mover	image-37	{"x":654,"y":176}
1470237067968: 	moved	image-37	to	{"x":654,"y":176}
1470237067992: 	action	mover	image-37	{"x":653,"y":176}
1470237067993: 	moved	image-37	to	{"x":653,"y":176}
1470237068028: 	action	mover	image-37	{"x":653,"y":175}
1470237068029: 	moved	image-37	to	{"x":653,"y":175}
1470237068043: 	action	mover	image-37	{"x":654,"y":175}
1470237068044: 	moved	image-37	to	{"x":654,"y":175}
1470237068068: 	action	mover	image-37	{"x":654,"y":174}
1470237068069: 	moved	image-37	to	{"x":654,"y":174}
1470237068105: 	action	mover	image-37	{"x":655,"y":173}
1470237068106: 	moved	image-37	to	{"x":655,"y":173}
1470237068120: 	action	mover	image-37	{"x":656,"y":172}
1470237068121: 	moved	image-37	to	{"x":656,"y":172}
