1470735748291: 	acted on	innerText
1470735748414: 	sub-instrument	start	mover	true
1470735768219: 	moved	image-57	to	{"x":372,"y":290}
1470735768227: 	action	mover	image-57	{"x":378,"y":287}
1470735768228: 	moved	image-57	to	{"x":378,"y":287}
1470735768236: 	action	mover	image-57	{"x":383,"y":284}
1470735768243: 	action	mover	image-57	{"x":388,"y":281}
1470735768244: 	moved	image-57	to	{"x":388,"y":281}
1470735768251: 	action	mover	image-57	{"x":393,"y":277}
1470735768252: 	moved	image-57	to	{"x":393,"y":277}
1470735768261: 	action	mover	image-57	{"x":398,"y":274}
1470735768268: 	action	mover	image-57	{"x":403,"y":271}
1470735768269: 	moved	image-57	to	{"x":403,"y":271}
1470735768277: 	action	mover	image-57	{"x":407,"y":269}
1470735768278: 	moved	image-57	to	{"x":407,"y":269}
1470735768286: 	action	mover	image-57	{"x":410,"y":267}
1470735768293: 	action	mover	image-57	{"x":415,"y":265}
1470735768294: 	moved	image-57	to	{"x":415,"y":265}
1470735768302: 	action	mover	image-57	{"x":420,"y":262}
1470735768303: 	moved	image-57	to	{"x":420,"y":262}
1470735768310: 	action	mover	image-57	{"x":423,"y":259}
1470735768311: 	moved	image-57	to	{"x":423,"y":259}
1470735768318: 	action	mover	image-57	{"x":429,"y":256}
1470735768319: 	moved	image-57	to	{"x":429,"y":256}
1470735768326: 	action	mover	image-57	{"x":435,"y":252}
1470735768327: 	moved	image-57	to	{"x":435,"y":252}
1470735768336: 	action	mover	image-57	{"x":441,"y":249}
1470735768337: 	moved	image-57	to	{"x":441,"y":249}
1470735769469: 	acted on	image-35
1470735769471: 	action	mover	image-35	{"x":679,"y":137}
1470735769472: 	start moving	image-35	from	{"x":102,"y":83}
1470735769569: 	action	mover	image-35	{"x":678,"y":153}
1470735769570: 	moved	image-35	to	{"x":678,"y":153}
1470735769577: 	action	mover	image-35	{"x":678,"y":156}
1470735769578: 	moved	image-35	to	{"x":678,"y":156}
1470735769586: 	action	mover	image-35	{"x":677,"y":159}
1470735769587: 	moved	image-35	to	{"x":677,"y":159}
1470735769598: 	action	mover	image-35	{"x":676,"y":162}
1470735769611: 	action	mover	image-35	{"x":674,"y":171}
1470735769612: 	moved	image-35	to	{"x":674,"y":171}
