1470046547443: 	acted on	innerText
1470046547533: 	sub-instrument	start	draw	true
1470046547535: 	activate	draw
1470046550775: 	acted on	sample
1470046598173: 	draw	image-56	{"x":549.5,"y":695.5}
1470046598181: 	draw	image-56	{"x":549.5,"y":694.5}
1470046598198: 	draw	image-56	{"x":549.5,"y":693.5}
1470046598230: 	draw	image-56	{"x":550.5,"y":693.5}
1470046603058: 	draw	image-56	{"x":586.5,"y":698.5}
1470046603223: 	draw	image-56	{"x":591.5,"y":715.5}
1470046603231: 	draw	image-56	{"x":592.5,"y":717.5}
1470046603240: 	draw	image-56	{"x":593.5,"y":721.5}
1470046603247: 	draw	image-56	{"x":593.5,"y":723.5}
1470046603255: 	draw	image-56	{"x":593.5,"y":726.5}
1470046603265: 	draw	image-56	{"x":594.5,"y":728.5}
1470046603272: 	draw	image-56	{"x":594.5,"y":731.5}
1470046603280: 	draw	image-56	{"x":594.5,"y":733.5}
1470046603289: 	draw	image-56	{"x":595.5,"y":735.5}
1470046603298: 	draw	image-56	{"x":595.5,"y":738.5}
1470046603306: 	draw	image-56	{"x":595.5,"y":741.5}
1470046603315: 	draw	image-56	{"x":595.5,"y":742.5}
1470046603323: 	draw	image-56	{"x":596.5,"y":744.5}
1470046603331: 	draw	image-56	{"x":596.5,"y":745.5}
1470046603343: 	draw	image-56	{"x":596.5,"y":747.5}
1470046603356: 	draw	image-56	{"x":596.5,"y":750.5}
1470046603364: 	draw	image-56	{"x":596.5,"y":751.5}
1470046603373: 	draw	image-56	{"x":596.5,"y":753.5}
1470046603380: 	draw	image-56	{"x":596.5,"y":754.5}
1470046603390: 	draw	image-56	{"x":596.5,"y":755.5}
1470046603399: 	draw	image-56	{"x":596.5,"y":756.5}
1470046603406: 	draw	image-56	{"x":596.5,"y":757.5}
1470046603448: 	draw	image-56	{"x":596.5,"y":758.5}
1470046603742: 	draw	image-56	{"x":599.5,"y":738.5}
1470046603856: 	draw	image-56	{"x":616.5,"y":734.5}
1470046603865: 	draw	image-56	{"x":618.5,"y":734.5}
1470046603873: 	draw	image-56	{"x":620.5,"y":734.5}
1470046603881: 	draw	image-56	{"x":622.5,"y":734.5}
1470046603890: 	draw	image-56	{"x":624.5,"y":734.5}
1470046603898: 	draw	image-56	{"x":625.5,"y":734.5}
1470046603906: 	draw	image-56	{"x":626.5,"y":734.5}
1470046603916: 	draw	image-56	{"x":627.5,"y":733.5}
1470046603923: 	draw	image-56	{"x":628.5,"y":733.5}
1470046603956: 	draw	image-56	{"x":629.5,"y":733.5}
1470046604015: 	draw	image-56	{"x":630.5,"y":733.5}
1470046604208: 	draw	image-56	{"x":616.5,"y":691.5}
1470046604315: 	draw	image-56	{"x":628.5,"y":701.5}
1470046604322: 	draw	image-56	{"x":629.5,"y":705.5}
1470046604330: 	draw	image-56	{"x":630.5,"y":707.5}
1470046604339: 	draw	image-56	{"x":632.5,"y":711.5}
1470046604347: 	draw	image-56	{"x":634.5,"y":713.5}
1470046604355: 	draw	image-56	{"x":635.5,"y":717.5}
1470046604365: 	draw	image-56	{"x":636.5,"y":720.5}
1470046604373: 	draw	image-56	{"x":637.5,"y":723.5}
